price,area,pricePerMeter,rooms,floor
569000,125.0,4552.0,4,0
399000,53.97,7393.0,3,0
482724,48.76,9900.0,1,3
359000,44.0,8159.09,2,5
280000,37.0,7567.57,1,3
649000,65.59,9894.8,3,2
599000,67.0,8940.3,3,2
499000,80.92,6166.58,3,1
850000,119.0,7142.86,4,1
552585,65.01,8500.0,3,0
609875,71.75,8500.0,3,0
399108,35.88,11123.41,2,0
474725,55.85,8500.0,2,2
392867,49.73,7900.0,2,1
507744,48.0,10578.0,2,1
499290,58.74,8500.0,3,0
673695,68.05,9900.0,4,0
514150,79.1,6500.0,4,0
305000,44.0,6931.82,2,1
450000,45.3,9933.77,3,1
509514,55.63,9158.98,4,2
625688,58.75,10650.0,4,1
765000,116.0,6594.83,4,1
749000,84.21,8894.43,3,0
270000,101.36,2663.77,1,4
634392,64.08,9900.0,3,3
474725,55.85,8500.0,2,2
750000,122.0,6147.54,4,0
749000,114.5,6541.48,3,0
490000,70.63,6938.0,4,3
233523,28.83,8100.0,2,0
351065,35.04,10018.98,2,2
395845,46.57,8500.0,2,0
359000,58.0,6189.66,3,0
210248,25.64,8200.0,1,0
750000,82.0,9146.34,3,2
309000,47.98,6440.18,2,0
295000,46.18,6388.05,2,2
460000,65.0,7076.92,3,0
352440,39.6,8900.0,2,2
330375,44.05,7500.0,2,0
430000,53.0,8113.21,3,0
870000,76.04,11441.35,3,4
440725,51.85,8500.0,2,0
356480,44.56,8000.0,2,0
338980,39.88,8500.0,2,0
285000,33.71,8454.46,2,2
359000,46.33,7748.76,2,1
1072996,98.44,10900.0,4,1
860000,61.22,14047.7,2,4
950301,95.99,9900.0,4,6
392867,49.73,7900.0,2,0
290000,44.0,6590.91,2,4
395760,49.47,8000.0,3,1
628603,86.11,7300.0,4,1
504648,70.09,7200.0,3,0
650000,124.88,5205.0,5,1
716745,98.19,7299.57,5,3
549000,47.0,11680.85,2,1
462783,67.07,6900.0,3,3
628603,86.11,7300.0,4,1
268000,37.0,7243.24,2,2
649528,73.81,8800.0,4,2
340000,53.0,6415.09,2,3
504036,64.62,7800.0,3,1
549000,250.0,2196.0,4,1
453320,64.76,7000.0,3,1
449000,58.24,7709.48,3,0
379000,56.7,6684.3,4,3
460000,42.67,10780.41,3,2
458000,38.74,11822.41,2,0
474975,63.33,7500.0,3,1
379000,48.5,7814.43,2,4
634392,64.08,9900.0,3,2
369000,57.4,6428.57,3,4
464046,58.74,7900.0,3,0
460000,65.0,7076.92,3,0
339000,33.9,10000.0,2,2
359652,34.0,10578.0,1,0
549000,47.0,11680.85,2,1
649442,69.87,9295.0,4,2
483516,48.84,9900.0,2,1
400767,50.73,7900.0,3,1
629680,74.08,8500.0,4,1
499290,58.74,8500.0,3,0
447900,53.0,8450.94,3,3
589000,112.04,5257.05,5,1
524856,69.06,7600.0,3,0
683655,80.43,8500.0,4,3
480000,56.5,8495.58,3,2
580355,56.62,10250.0,4,0
488862,49.38,9900.0,2,5
385000,53.8,7156.13,3,0
399150,54.0,7391.67,3,2
525000,70.0,7500.0,4,0
701250,82.5,8500.0,4,1
299000,40.0,7475.0,1,3
504252,73.08,6900.0,3,3
450000,89.0,5056.18,3,0
449000,58.24,7709.48,3,0
475000,51.0,9313.73,2,0
244412,28.42,8600.0,1,1
919000,115.8,7936.1,4,0
469000,59.0,7949.15,2,1
195500,25.73,7598.13,1,0
309917,39.23,7900.0,2,1
555000,63.35,8760.85,3,1
425760,53.22,8000.0,3,2
490420,79.1,6200.0,4,1
459600,58.02,7921.41,3,0
479000,52.4,9141.22,2,0
367982,46.58,7900.0,2,0
379000,63.5,5968.5,3,0
635000,68.31,9295.86,3,0
430000,53.8,7992.57,3,0
359900,57.56,6252.61,4,4
559000,67.95,8226.64,3,1
399000,71.0,5619.72,2,1
380000,54.0,7037.04,2,0
439000,53.97,8134.15,3,0
335000,37.7,8885.94,2,3
379000,57.4,6602.79,3,4
589000,92.78,6348.35,5,1
650000,124.76,5210.0,4,0
265000,30.9,8576.05,2,10
389000,54.5,7137.61,3,0
377225,47.75,7900.0,3,2
730000,68.59,10642.95,3,2
259000,30.3,8547.85,1,4
382000,46.3,8250.54,3,4
423225,56.43,7500.0,3,0
380000,56.2,6761.57,3,2
1130000,239.96,4709.12,6,2
388875,51.85,7500.0,2,0
440025,58.67,7500.0,3,0
329000,54.7,6014.63,3,0
750000,109.0,6880.73,4,0
354000,35.76,9899.33,2,1
339000,34.0,9970.59,2,2
319000,48.26,6610.03,2,2
380000,60.5,6280.99,3,1
514150,79.1,6500.0,3,1
465000,60.0,7750.0,2,1
429000,59.6,7197.99,3,1
881199,89.01,9900.0,4,1
539000,43.62,12356.72,2,0
515000,66.2,7779.46,4,0
450894,41.76,10797.0,2,1
447736,49.39,9065.32,3,3
376650,50.22,7500.0,2,1
349000,50.22,6949.42,2,1
359000,46.18,7773.93,3,0
466125,41.25,11300.0,2,0
367982,46.58,7900.0,2,0
445000,60.0,7416.67,3,2
527668,69.43,7600.0,3,0
239000,61.6,3879.87,3,2
399000,61.68,6468.87,3,0
459000,68.5,6700.73,3,5
795482,72.98,10900.0,3,0
606900,80.92,7500.0,4,2
595000,89.0,6685.39,4,1
414655,39.97,10374.16,2,3
479000,52.5,9123.81,3,0
299000,48.0,6229.17,2,1
469000,59.2,7922.3,2,1
258054,31.47,8200.0,2,0
440725,51.85,8500.0,2,0
423120,40.0,10578.0,1,0
400372,50.68,7900.0,2,1
650000,113.0,5752.21,4,0
408483,36.53,11182.12,2,1
249000,38.07,6540.58,2,1
524856,69.06,7600.0,3,0
490050,65.34,7500.0,3,2
438000,53.0,8264.15,3,0
369000,53.5,6897.2,2,6
589000,121.0,4867.77,5,0
881100,89.0,9900.0,4,1
749000,114.41,6546.63,3,0
552585,65.01,8500.0,3,0
497166,47.0,10578.0,2,0
282000,26.12,10796.32,1,0
305000,43.7,6979.41,2,10
589000,92.78,6348.35,5,2
400752,35.74,11212.98,2,2
612623,73.81,8300.0,4,2
310000,53.0,5849.06,2,1
673200,68.0,9900.0,4,0
449000,58.24,7709.48,3,0
687820,80.92,8500.0,4,2
540000,70.81,7626.04,2,4
483522,49.0,9867.8,3,3
552585,65.01,8500.0,3,0
474975,63.33,7500.0,3,0
459000,53.8,8531.6,3,4
849000,113.5,7480.18,4,2
400372,50.68,7900.0,2,1
490728,71.12,6900.0,3,3
1180000,87.96,13415.19,4,0
668861,72.13,9272.99,3,1
379000,63.0,6015.87,3,5
389000,60.5,6429.75,3,1
310000,36.0,8611.11,2,1
399000,62.0,6435.48,3,0
555000,70.25,7900.36,3,0
389000,46.0,8456.52,2,1
400767,50.73,7900.0,3,1
381175,48.25,7900.0,2,1
359000,50.0,7180.0,1,0
609620,71.72,8500.0,3,0
439000,53.97,8134.15,3,0
315000,58.6,5375.43,3,6
466830,40.95,11400.0,2,2
395335,46.51,8500.0,2,0
339000,49.3,6876.27,2,5
429000,51.5,8330.1,3,2
320000,49.6,6451.61,2,1
479000,52.4,9141.22,3,0
363000,53.5,6785.05,3,6
675000,71.28,9469.7,3,1
269000,30.17,8916.14,1,0
380000,55.05,6902.82,3,4
488862,49.38,9900.0,2,5
370000,44.0,8409.09,3,9
450894,41.76,10797.27,2,1
621290,58.89,10550.0,4,0
502200,65.22,7700.09,3,1
567630,66.78,8500.0,3,0
1101177,111.23,9900.0,5,6
513726,32.45,15831.31,2,1
599000,67.95,8815.31,3,1
490050,65.34,7500.0,3,1
345912,39.76,8700.0,2,1
309917,39.23,7900.0,2,1
230000,26.47,8689.08,1,5
440000,52.7,8349.15,3,3
689000,121.0,5694.21,5,0
483840,69.12,7000.0,3,0
577000,64.0,9015.62,3,1
295000,43.7,6750.57,2,1
430000,53.8,7992.57,3,0
519000,71.47,7261.79,4,0
355000,53.27,6664.16,3,4
449000,57.6,7795.14,3,3
599000,59.96,9989.99,3,1
699000,59.31,11785.53,3,0
499000,61.12,8164.27,3,0
499000,61.12,8164.27,3,0
750000,81.79,9169.83,3,2
649442,69.87,9295.0,4,2
398990,35.56,11220.19,2,1
380800,56.0,6800.0,2,2
210248,25.64,8200.0,1,1
444836,50.12,8875.42,3,1
559000,67.95,8226.64,3,1
439000,76.3,5753.6,3,4
516560,64.57,8000.0,3,0
499000,70.0,7128.57,2,4
355000,55.4,6407.94,3,4
459000,55.7,8241.0,3,0
451800,60.24,7500.0,3,1
405200,50.65,8000.0,2,0
519000,61.12,8491.49,3,0
479000,52.4,9141.22,3,0
359000,40.0,8975.0,2,2
320000,34.0,9411.76,2,2
1160478,117.22,9900.0,5,6
592640,74.08,8000.0,4,1
519000,61.12,8491.49,3,0
390684,46.51,8400.0,2,0
430000,107.56,3997.77,4,0
330378,34.0,9717.0,1,0
425000,47.0,9042.55,2,1
401952,50.88,7900.0,3,0
499000,49.91,9998.0,2,0
464046,58.74,7900.0,3,0
445000,52.7,8444.02,3,3
499000,61.12,8164.27,3,0
1399999,142.68,9812.16,4,0
464046,58.74,7900.0,3,0
740000,73.0,10136.99,3,4
391386,37.0,10578.0,1,0
449000,94.45,4753.84,3,0
439000,52.7,8330.17,3,3
440025,58.67,7500.0,2,0
675000,125.0,5400.0,3,2
525600,58.4,9000.0,3,1
650000,124.76,5210.0,4,1
1071470,98.3,10900.0,4,1
395930,46.58,8500.0,2,0
569000,72.85,7810.57,3,2
338980,40.0,8474.5,2,0
400000,40.88,9784.74,2,2
522720,65.34,8000.0,3,2
423000,51.5,8213.59,2,2
629680,74.08,8500.0,4,1
359652,34.0,10578.0,1,1
259000,33.0,7848.48,1,10
599000,59.5,10067.23,3,0
279000,34.6,8063.58,1,1
598713,86.77,6900.0,4,3
542823,78.67,6900.0,4,3
395335,46.51,8500.0,2,0
593120,74.17,7996.76,4,0
489000,83.88,5829.76,4,3
546084,65.01,8400.0,3,0
398925,49.25,8100.0,3,2
559000,67.95,8227.0,3,1
369000,57.0,6473.68,3,4
465000,56.6,8215.55,2,4
395760,49.47,8000.0,3,1
1071500,98.3,10900.3,4,1
340000,59.41,5722.94,3,1
315000,48.0,6562.5,2,1
725613,66.57,10900.0,3,1
649528,73.81,8800.0,4,2
439000,59.82,7338.68,3,2
379000,63.28,5989.25,3,0
444000,52.7,8425.05,3,3
449000,92.8,4838.36,3,1
338980,39.88,8500.0,2,0
401952,50.88,7900.0,3,0
388875,51.85,7500.0,2,0
1199000,97.38,12312.59,5,1
797000,116.0,6870.69,5,2
299000,38.0,7868.42,2,2
511355,56.62,9031.35,4,0
450894,41.76,10797.27,2,1
660000,71.28,9259.26,3,1
